#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Nov 30 00:16:00 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mojo_top_0.ncd
#OUTPUT FILE:      mojo_top_0_routed_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,ledr2c2R,IOB,IO_L83N_VREF_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P2,btnr2c2,IOB,IO_L83P_3,INPUT,LVTTL,3,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,ledr2c2B,IOB,IO_L52N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,ledr2c2G,IOB,IO_L52P_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,ledr3c2R,IOB,IO_L51N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P8,btnr3c2,IOB,IO_L51P_3,INPUT,LVTTL,3,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P9,ledr3c2B,IOB,IO_L50N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P10,ledr3c2G,IOB,IO_L50P_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P11,ledr2c3R,IOB,IO_L49N_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P12,btnr2c3,IOB,IO_L49P_3,INPUT,LVTTL,3,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,ledr2c3B,IOB,IO_L44N_GCLK20_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P15,ledr2c3G,IOB,IO_L44P_GCLK21_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P16,ledr3c3R,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P17,btnr3c3,IOB,IO_L43P_GCLK23_3,INPUT,LVTTL,3,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,3.3,,,,
P21,ledr3c3B,IOB,IO_L42N_GCLK24_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P22,ledr3c3G,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVTTL,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,,IOBS,IO_L41N_GCLK26_3,UNUSED,,3,,,,,,,,,
P24,,IOBM,IO_L41P_GCLK27_3,UNUSED,,3,,,,,,,,,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_3,UNUSED,,3,,,,,,,,,
P27,,IOBM,IO_L37P_3,UNUSED,,3,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,led[7],IOB,IO_L36N_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P30,led[2],IOB,IO_L36P_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,led[3],IOB,IO_L2N_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P33,led[1],IOB,IO_L2P_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P34,led[5],IOB,IO_L1N_VREF_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P35,led[0],IOB,IO_L1P_3,OUTPUT,LVTTL,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,3.3,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,rst_n,IOB,IO_L65N_CSO_B_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
